ModelType,n_of_inputs,Comment,TrainSet,TestSet,trainStart,testStart,averageRPS,TestRPS_min,TestRPS_ave
GLMNET,95,Basic + Shin,2646,378,14834,17362,0.18397,0.18219,0.18486
GLMNET,95,Basic + Shin,2646,378,14834,17362,0.18397,0.18219,0.18486
GLMNET,95,Basic + Shin,3024,10,14834,17868,0.17812,0.17632,0.18096
GLMNET,95,NA,3134,10,14834,17868,0.17712,0.17632,0.18096
GLMNET,95,NA,3024,10,14834,17775,0.1962,0.18462,0.1914
GLMNET,95,NA,3034,10,14834,17789,0.16825,0.15692,0.16308
GLMNET,95,NA,3044,10,14834,17796,0.13022,0.12566,0.1298
GLMNET,95,NA,3054,10,14834,17803,0.17288,0.17222,0.17592
GLMNET,95,NA,3064,10,14834,17809,0.18178,0.17751,0.18144
GLMNET,95,NA,3074,10,14834,17824,0.16509,0.16177,0.1696
GLMNET,95,NA,3084,10,14834,17831,0.1421,0.13527,0.14115
GLMNET,95,NA,3094,10,14834,17838,0.14444,0.14211,0.14542
GLMNET,95,NA,3104,10,14834,17845,0.16646,0.16059,0.16298
GLMNET,95,NA,3114,10,14834,17859,0.21213,0.20812,0.21248
GLMNET,95,NA,3124,10,14834,17865,0.17791,0.17632,0.18096
GLMNET,95,NA,3134,4,14834,17869,0.12849,0.12558,0.13261
