ModelType,Feature,Ordered,Weeks,Seasons,TestSize,TrainStart,TestStart,OurRPS,BestTune,timestamp
random_forest,A,FALSE,13 weeks,2018-2019,137,NA,NA,0.233241547445255,mtry 7.5,2018-12-18 22:31:11
decision_tree,A,FALSE,13 weeks,2018-2019,137,NA,NA,0.202258255845621,cp 0.15,2018-12-18 22:31:21
gradient_boosting,A,FALSE,13 weeks,2018-2019,137,NA,NA,0.175722942326172,n.trees 250 interaction.depth 1 shrinkage 0.01 n.minobsinnode 5,2018-12-18 22:38:22
glmnet,A,FALSE,13 weeks,2018-2019,137,NA,NA,0.169080306349687,lambda 0.00487127317590933,2018-12-18 22:39:05
random_forest,A,FALSE,6 weeks,2018-2019,60,NA,NA,0.2259445,mtry 4.5,2018-12-19 00:00:37
decision_tree,A,FALSE,6 weeks,2018-2019,60,NA,NA,0.170442411977645,cp 0.06,2018-12-19 00:00:47
gradient_boosting,A,FALSE,6 weeks,2018-2019,60,NA,NA,0.170157668838395,n.trees 250 interaction.depth 1 shrinkage 0.01 n.minobsinnode 5,2018-12-19 00:11:29
random_forest,A,FALSE,6 weeks,2018-2019,60,NA,NA,0.2259445,mtry 4.5,2018-12-19 00:24:40
decision_tree,A,FALSE,6 weeks,2018-2019,60,NA,NA,0.170442411977645,cp 0.06,2018-12-19 00:24:51
gradient_boosting,A,FALSE,6 weeks,2018-2019,60,NA,NA,0.170157668838395,n.trees 250 interaction.depth 1 shrinkage 0.01 n.minobsinnode 5,2018-12-19 00:35:32
glmnet,A,FALSE,6 weeks,2018-2019,60,NA,NA,0.178004413002799,lambda 0.000612335902109349,2018-12-19 00:36:16
random_forest,A,FALSE,7 weeks,2018-2019,77,NA,NA,0.230262,mtry 4.5,2018-12-19 00:42:25
decision_tree,A,FALSE,7 weeks,2018-2019,77,NA,NA,0.170439918583939,cp 0.06,2018-12-19 00:42:36
gradient_boosting,A,FALSE,7 weeks,2018-2019,77,NA,NA,0.174044483509862,n.trees 250 interaction.depth 1 shrinkage 0.01 n.minobsinnode 10,2018-12-19 00:54:33
glmnet,A,FALSE,7 weeks,2018-2019,77,NA,NA,0.191421380598749,lambda 2.18429772726273e-05,2018-12-19 00:55:23
random_forest,A+B,FALSE,6 weeks,2018-2019,60,NA,NA,0.215835266666667,mtry 6,2018-12-19 01:02:53
decision_tree,A+B,FALSE,6 weeks,2018-2019,60,NA,NA,0.170442411977645,cp 0.06,2018-12-19 01:03:06
gradient_boosting,A+B,FALSE,6 weeks,2018-2019,60,NA,NA,0.176281329134261,n.trees 200 interaction.depth 1 shrinkage 0.01 n.minobsinnode 5,2018-12-19 01:17:31
glmnet,A+B,FALSE,6 weeks,2018-2019,60,NA,NA,0.295019437131984,lambda 0.000112796561551297,2018-12-19 01:18:28
random_forest,A+B,FALSE,7 weeks,2018-2019,77,NA,NA,0.218520701298701,mtry 4,2018-12-19 01:26:46
decision_tree,A+B,FALSE,7 weeks,2018-2019,77,NA,NA,0.170439918583939,cp 0.06,2018-12-19 01:27:00
gradient_boosting,A+B,FALSE,7 weeks,2018-2019,77,NA,NA,0.176757597844655,n.trees 200 interaction.depth 1 shrinkage 0.01 n.minobsinnode 5,2018-12-19 01:42:31
glmnet,A+B,FALSE,7 weeks,2018-2019,77,NA,NA,0.244732567534295,lambda 2.18429772726273e-05,2018-12-19 01:43:31
random_forest,A+B+C,FALSE,6 weeks,2018-2019,60,NA,NA,0.205798836363636,mtry 4.5,2018-12-19 01:54:18
decision_tree,A+B+C,FALSE,6 weeks,2018-2019,60,NA,NA,0.202982990778292,cp 0.06,2018-12-19 01:54:36
gradient_boosting,A+B+C,FALSE,6 weeks,2018-2019,60,NA,NA,0.176967360960405,n.trees 150 interaction.depth 1 shrinkage 0.01 n.minobsinnode 10,2018-12-19 02:18:40
glmnet,A+B+C,FALSE,6 weeks,2018-2019,60,NA,NA,0.234898821542877,lambda 0.0123306395838691,2018-12-19 02:20:06
random_forest,A+B+C,FALSE,7 weeks,2018-2019,77,NA,NA,0.204480712328767,mtry 4.5,2018-12-19 02:32:02
decision_tree,A+B+C,FALSE,7 weeks,2018-2019,77,NA,NA,0.167138643186288,cp 0.06,2018-12-19 02:32:20
gradient_boosting,A+B+C,FALSE,7 weeks,2018-2019,77,NA,NA,0.167830766579972,n.trees 200 interaction.depth 1 shrinkage 0.01 n.minobsinnode 10,2018-12-19 02:58:08
glmnet,A+B+C,FALSE,7 weeks,2018-2019,77,NA,NA,0.186260950477865,lambda 0.0129794999695638,2018-12-19 02:59:34
