ModelType,Feature,Ordered,Weeks,Seasons,TestSize,OurRPS,MinRPS,MaxRPS,timestamp
decision_tree,A+B,FALSE,34 weeks,2017-2018,380,0.224621881207809,0.1821946,0.187178,2018-12-14 00:30:44
decision_tree,A+C,TRUE,1 weeks,2018-2019,10,0.192427911431411,0.1803109,0.1860805,2018-12-14 00:35:40
decision_tree,A+C,FALSE,1 weeks,2018-2019,10,0.191216945155071,0.1803109,0.1860805,2018-12-14 00:35:40
decision_tree,A+C,FALSE,1 weeks,2018-2019,10,0.191216945155071,0.1803109,0.1860805,2018-12-14 00:38:02
glmnet,A+C,FALSE,1 weeks,2018-2019,10,0.194657138618818,0.1803109,0.1860805,2018-12-14 00:39:53
gradient_boosting,A+C,FALSE,1 weeks,2018-2019,10,0.22298349353497,0.1803109,0.1860805,2018-12-14 00:41:46
decision_tree,A+C,FALSE,1 weeks,2018-2019,10,0.191216945155071,0.1803109,0.1860805,2018-12-14 00:47:59
glmnet,A+C,FALSE,1 weeks,2018-2019,10,0.186114784494689,0.1803109,0.1860805,2018-12-14 00:50:03
gradient_boosting,A+C,FALSE,1 weeks,2018-2019,10,0.216910425439974,0.1803109,0.1860805,2018-12-14 00:51:43
decision_tree,A+B,FALSE,1 weeks,2018-2019,10,0.155008862077022,0.1803109,0.1860805,2018-12-14 00:52:02
glmnet,A+B,FALSE,1 weeks,2018-2019,10,0.201613891139472,0.1803109,0.1860805,2018-12-14 00:53:02
gradient_boosting,A+B,FALSE,1 weeks,2018-2019,10,0.301919215498694,0.1803109,0.1860805,2018-12-14 00:54:23
decision_tree,A,FALSE,1 weeks,2018-2019,10,0.161450526797628,0.1803109,0.1860805,2018-12-14 00:54:24
glmnet,A,FALSE,1 weeks,2018-2019,10,0.161456319655987,0.1803109,0.1860805,2018-12-14 00:55:08
gradient_boosting,A,FALSE,1 weeks,2018-2019,10,0.110888046079685,0.1803109,0.1860805,2018-12-14 00:56:09
decision_tree,A,TRUE,1 weeks,2018-2019,10,0.121172107854474,0.1803109,0.1860805,2018-12-14 00:56:09
gradient_boosting,A,TRUE,1 weeks,2018-2019,10,0.114435088900435,0.1803109,0.1860805,2018-12-14 00:57:16
decision_tree,A+B,TRUE,1 weeks,2018-2019,10,0.12772928839378,0.1803109,0.1860805,2018-12-14 00:57:16
gradient_boosting,A+B,TRUE,1 weeks,2018-2019,10,0.216860678015278,0.1803109,0.1860805,2018-12-14 00:58:42
decision_tree,A+C,TRUE,1 weeks,2018-2019,10,0.192427911431411,0.1803109,0.1860805,2018-12-14 00:58:43
gradient_boosting,A+C,TRUE,1 weeks,2018-2019,10,0.147310080109628,0.1803109,0.1860805,2018-12-14 01:00:24
decision_tree,A+C,TRUE,1 weeks,2018-2019,10,0.192427911431411,0.1803109,0.1860805,2018-12-14 01:00:24
gradient_boosting,A+C,TRUE,1 weeks,2018-2019,10,0.18078744636788,0.1803109,0.1860805,2018-12-14 01:02:22
decision_tree,A+C,TRUE,1 weeks,2018-2019,10,0.192427911431411,0.1803109,0.1860805,2018-12-14 01:19:27
gradient_boosting,A+C,TRUE,1 weeks,2018-2019,10,0.18078744636788,0.1803109,0.1860805,2018-12-14 01:21:29
